"nordborgid","native_name","ABRC_Stock_number","Line","Mean_Length_C","Mean_Length_E","Ratio"
7391,"Wag-4","CS28809",125,0.969548566666667,0.208936824,4.64039104311582
7411,"Wl-0","CS28822",129,1.02086809,0.0836313466666667,12.2067637397843
7397,"Ws","CS28823",130,1.43209762,0.21661936,6.61112478589171
7408,"Wt-3","CS28833",131,0.76504045,0.094292328,8.1134962539052
8610,"11ME1.32","CS76083",135,1.3629689,0.108000004,12.620081939997
8796,"11PNA4.101","CS76084",136,0.591202315,0.1209766504,4.88691258226472
8692,"328PNA054","CS76085",137,1.0696333375,0.2889746325,3.70147832093878
7571,"627ME-4Y1","CS76086",138,1.25871134,0.2794300825,4.5045663256389
8251,"Ag-0","CS76087",139,1.025314752,0.175248111,5.85064652708296
8252,"Alc-0","CS76088",140,0.664126306,0.093383979,7.1117799124837
1,"ALL1-2","CS76089",141,0.972455548,0.0940070436,10.3444966542911
2,"ALL1-3","CS76090",142,1.197621712,0.10114164725,11.841034277796
5832,"App1-16","CS76092",144,0.763324196,0.0526368742,14.5017007107918
8256,"Bå1-2","CS76093",145,0.9790589825,0.0855026753333333,11.4506239563046
8260,"Bay-0","CS76094",146,1.48098538,0.085838413,17.253177548844
957,"Belmonte-4-94","CS76095",147,0.839871665,0.0493102195,17.0324057267683
8261,"Bg-2","CS76096",148,0.637730656,0.086318508,7.38811027641951
8264,"Bla-1","CS76097",149,0.77947216,0.0413525912,18.849415172803
8265,"Blh-1","CS76098",150,0.801835836666667,0.046442271,17.2652159207862
5837,"Bor-1","CS76099",151,1.1373763725,0.0642547213333333,17.701055251639
8269,"Br-0","CS76101",153,0.627803465,0.07506130625,8.36387609494872
8231,"Brö1-6","CS76102",154,0.92338713,0.0638532276666667,14.461087774926
8271,"Bu-0","CS76103",155,1.35394308,0.25458717,5.3181905435376
15,"BUI","CS76104",156,0.5993012575,0.073435339,8.16093812135871
8272,"Bur-0","CS76105",157,1.03473539,0.0727737538,14.2185243438686
8273,"C24","CS76106",158,0.91666441,0.062288758,14.7163700069281
66,"CAM-61","CS76108",160,0.969566566666667,0.0502791373,19.283675471231
8274,"Can-0","CS76109",161,0.8558913275,0.0414642165,20.6416857653635
8276,"CIBC-17","CS76111",163,0.822897776666667,0.12381773125,6.64604147046723
78,"CLE-6","CS76112",164,0.5717493925,0.08035123375,7.11562680268117
8279,"Col-0","CS76113",165,0.75542798,0.0664577996666667,11.3670326701909
8280,"Ct-1","CS76114",166,0.57689416,0.123048416,4.68835096585071
81,"CUR-3","CS76115",167,0.742103068,0.11998085375,6.18517909154318
8281,"Cvi-0","CS76116",168,0.48887982,0.0685405236,7.13271207049839
8283,"Dra3-1","CS76117",169,0.621970772,0.0305329265,20.3704932116481
5896,"DraIV 1-14","CS76119",171,0.805804254,0.090106822,8.94276633127734
5887,"DraIV 1-5","CS76120",172,1.1803295,0.1431863875,8.24330804490755
5889,"DraIV 1-7","CS76121",173,0.739233246,0.0451212695,16.383254597923
5987,"DraIV 6-16","CS76122",174,0.9274529,0.1455518075,6.3719778952247
6005,"DraIV 6-35","CS76123",175,0.968923693333333,0.15125965,6.40569836921699
6008,"Duk","CS76124",176,0.884232775,0.0765727933333333,11.5476102739363
8287,"Eden-2","CS76125",177,0.663202286,0.0547736572,12.108051934133
8288,"Edi-0","CS76126",178,0.876484642,0.0824027394,10.6365959236545
8291,"Est-1","CS76127",179,0.836319102,0.0922832244,9.06252579965119
8294,"Fei-0","CS76129",181,0.46069013,0.0279807736,16.4645244118626
8422,"Fjä1-1","CS76130",182,0.496470668,0.05420144375,9.15973143243071
6019,"Fjä1-2","CS76131",183,1.017221214,0.0594468352,17.1114443784553
6020,"Fjä1-5","CS76132",184,0.8903964,0.037026171,24.0477580033863
8295,"Ga-0","CS76133",185,0.57845232,0.0406471574,14.2310645319567
8296,"Gd-1","CS76134",186,0.686986226666667,0.0631709876666667,10.8750274776718
8299,"Got-7","CS76136",188,0.2502516775,0.0735595746,3.40202725288735
8300,"Gr-1","CS76137",189,0.22618312,0.0707903765,3.19511113209011
8234,"Gul1-2","CS76138",190,0.570559888,0.0919597475,6.20445252962444
8302,"Gy-0","CS76139",191,0.554732478,0.0909395525,6.1000132807999
8235,"Hod","CS76141",193,0.505910645,0.0580728195,8.71165976365243
8306,"Hov4-1","CS76142",194,0.641015792,0.0588846281666667,10.8859614462653
8310,"Hs-0","CS76145",197,2.04564714,0.282495558,7.24134267626254
8236,"HSm","CS76146",198,1.96288298,0.467900002,4.19509077069848
8311,"In-0","CS76147",199,2.227320775,0.3531202675,6.30754159416805
91,"JEA","CS76148",200,1.99136228,0.400883026,4.96743975385977
8314,"Ka-0","CS76149",201,2.1054051,0.7272004,2.89521994212324
8424,"Kas-1","CS76150",202,2.132661825,0.422963858,5.04218453814084
1716,"KBS-Mac-8","CS76151",203,2.175122675,0.288560074,7.53785042001341
8318,"Kno-18","CS76154",206,1.86237253333333,0.1296288065,14.3669650567471
8239,"PHW-3","CS76155",207,2.03503964,0.0786088645,25.8881699022634
8240,"Kulturen-1","CS76156",208,1.71150804,0.1093928666,15.6455177855262
94,"LAC-3","CS76157",209,1.8221611,0.0728748868,25.0039647402924
96,"LAC-5","CS76158",210,1.49893432,0.0772892632,19.393823384255
8323,"Lc-0","CS76159",211,2.429279925,0.0823117933333333,29.5131454026555
116,"LDV-25","CS76161",213,1.90801928,0.152486955,12.5126721823516
126,"LDV-34","CS76162",214,1.69607623333333,0.127219943333333,13.331842389596
149,"LDV-58","CS76163",215,1.9229054,0.149394574,12.8713202127408
641,"LI-OF-095","CS76165",217,2.14290088,0.068600772,31.2372706243014
8241,"Liarum","CS76166",218,1.5844183,0.151065068,10.4883168622411
8242,"Lillö-1","CS76167",219,2.3411042,0.0837878048,27.9408704594681
8325,"Lip-0","CS76168",220,2.37833646666667,0.102223403333333,23.2660661757789
8326,"Lis-1","CS76169",221,1.56771962,0.228379142,6.86454816438535
8222,"Lis-2","CS76170",222,1.87999065,0.317872533333333,5.91429095897559
8430,"Lisse","CS76171",223,2.7123731,1.173113995,2.3121138368143
8328,"LL-0","CS76172",224,2.2121385,0.698575356,3.16664262631103
8329,"Lm-2","CS76173",225,2.31033566,0.6141694225,3.76172367975548
6042,"Lom1-1","CS76174",226,1.69195794,0.3906150425,4.33152274211252
6046,"Löv-5","CS76175",227,2.18445346,0.295734088,7.38654605146499
8332,"Lp2-2","CS76176",228,1.77312175,0.43460992,4.0798004564645
8333,"Lp2-6","CS76177",229,1.850758225,0.4208769,4.39738608842633
8336,"Lz-0","CS76179",231,1.83069662,0.240669726,7.6066759638892
2057,"Map-42","CS76180",232,1.43878652,0.203194508,7.08083370048565
166,"MIB-15","CS76181",233,2.64684642,0.1755380775,15.0784744694495
173,"MIB-22","CS76182",234,1.8117637,0.264513122,6.84942843780733
178,"MIB-28","CS76183",235,2.19543644,0.28491848,7.70548979483535
1925,"MNF-Che-2","CS76185",237,1.79477512,0.3934294475,4.56187286285936
1859,"MNF-Pot-48","CS76187",239,2.2004012,0.267281312,8.2325291788451
1867,"MNF-Pot-68","CS76188",240,1.74350036666667,0.340788236666667,5.11608142264613
242,"MOG-37","CS76189",241,1.58014758,0.2541292875,6.21788852258912
8338,"Mr-0","CS76190",242,1.585703975,0.321366774,4.93424990786384
8339,"Mrk-0","CS76191",243,1.96992888,0.18424002,10.6921877233839
8341,"Mt-0","CS76192",244,1.93250762,0.1748386604,11.0530909787273
8342,"Mz-0","CS76193",245,2.782175625,0.2378987025,11.6947910844533
8429,"N13","CS76194",246,1.52427805,0.135941438,11.212755083553
8343,"Na-1","CS76195",247,1.97828698,0.136108824,14.5345975511477
8246,"NC-6","CS76196",248,1.99070993333333,0.25126987,7.92259706001891
8344,"Nd-1","CS76197",249,1.484500275,0.354079374,4.19256354367594
8345,"NFA-10","CS76198",250,1.7956128,0.214915185,8.35498338565514
8346,"NFA-8","CS76199",251,2.089848925,0.2252936475,9.27611119172812
8349,"Ömö 2-1","CS76200",252,2.73303975,0.250941423333333,10.8911462830496
6074,"Ör-1","CS76201",253,2.16977,0.264638988666667,8.19898084908794
8351,"Ost-0","CS76202",254,2.021015075,0.300313363333333,6.7296874590185
8352,"Oy-0","CS76203",255,2.04083956,0.287669253333333,7.09439586035704
8353,"Pa-1","CS76204",256,2.02996688,0.180618,11.2390065220521
