name	phenotype	id
N13	11.212755083553	7438
Na-1	14.5345975511477	8343
NC-6	7.92259706001891	8246
Nd-1	4.19256354367594	6942
NFA-10	8.35498338565514	6943
NFA-8	9.27611119172812	6944
<d6>m<f6> 2-1	10.8911462830496	NA
<d6>r-1	8.19898084908794	NA
Ost-0	6.7296874590185	8351
Oy-0	7.09439586035704	6946
Oy-0	7.09439586035704	7288
Pa-1	11.2390065220521	8353
PAR-4	8.06253074636481	259
PAR-5	12.4068530449165	260
Paw-3	10.9177934098874	2150
Pent-1	5.96317275944126	2187
Per-1	6.14336751227647	8354
Petergof	19.2953504413722	7296
PHW-34	15.3833125023621	8244
Pna-17	9.35726313239566	7523
Pro-0	5.34611830686482	8213
Pu2-23	4.52248290150063	6951
Rak-2	16.5621572947941	8365
Ren-1	16.8174577090171	NA
Rmx-A180	7.94425404862953	7525
Rsch-4	11.0256948083975	7322
Rsch-4	11.0256948083975	8374
Sanna-2	6.48657302307204	8376
Sap-0	8.96567935927557	8378
Sav-0	8.83536689724812	7340
Sav-0	8.83536689724812	8412
Se-0	10.6212993843955	6961
Shahdara	16.8890727417134	6962
SLSP-30	6.92364153622927	2274
Sq-8	7.75040397558516	6967
St-0	8.03482825677098	8387
Ste-3	12.0309107288689	2290
T1040	10.5061166450225	6094
T1060	11.4490995964083	6096
T1110	5.4746872831463	6100
Ta-0	13.3993852257779	7349
Ta-0	13.3993852257779	8389
